"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"126","Blake Coleman","N.J, T.B","C","216","531.58333333333","206","774","21.02","186","581","24.25","148","418","26.15","16","56","22.22","13","52.08","19.98","110","400","21.57","59","143","29.21","11","28","28.21","10.81","86.60","0.974","13","53","363","303","3.46","26","81","524","4.73"
"27","Travis Zajac","N.J","C","204","514.88333333333","191","734","20.65","167","548","23.36","131","390","25.14","13","53","19.70","10.96","48.47","18.44","98","386","20.25","48","135","26.23","11","22","33.33","9.92","86.41","0.963","7","53","408","244","1.69","14","82","577","2.37"
"145","Luke Glendening","DET","C, R","200","505.63333333333","138","933","12.89","124","719","14.71","112","514","17.89","11","64","14.67","8.56","65.86","11.50","68","456","12.98","39","229","14.55","9","39","18.75","9.82","87.55","0.974","8","37","445","271","1.77","16","67","607","2.57"
"70","Jay Beagle","VAN, WSH","C","188","489.41666666667","92","882","9.45","87","645","11.89","77","473","14.00","5","55","8.33","4.16","59.59","6.53","36","482","6.95","16","197","7.51","3","23","11.54","6.49","88.37","0.949","8","51","388","294","2.02","17","83","532","3.10"
"107","Riley Sheahan","DET, EDM, FLA, PIT","C","220","474.93333333333","118","782","13.11","107","573","15.74","92","426","17.76","7","43","14.00","5.59","50.76","9.92","48","381","11.19","24","159","13.11","4","22","15.38","7.61","89.91","0.975","13","52","372","324","3.38","24","82","469","4.87"
"68","Lars Eller","WSH","C","224","468.55","117","739","13.67","101","522","16.21","85","363","18.97","4","51","7.27","5.54","47.27","10.48","54","379","12.47","25","156","13.81","3","27","10.00","4.71","85.95","0.907","5","55","336","276","1.47","8","75","421","1.86"
"168","Connor Brown","OTT, TOR","R","227","459.46666666667","101","746","11.92","97","567","14.61","73","400","15.43","9","58","13.43","5.96","49.76","10.69","52","380","12.04","27","149","15.34","5","31","13.89","12.33","85.50","0.978","11","58","257","477","4.10","17","81","329","4.91"
"133","Matt Nieto","COL","L","199","456.5","115","804","12.51","104","584","15.12","93","432","17.71","11","54","16.92","5.92","48.54","10.88","51","365","12.26","21","145","12.65","6","21","22.22","11.83","87.50","0.993","6","62","239","347","2.45","14","90","309","4.33"
"67","Carl Hagelin","L.A, PIT, WSH","L","190","455.05","110","655","14.38","95","474","16.70","83","355","18.95","2","42","4.55","4.26","46.2","8.45","45","354","11.28","16","155","9.36","2","24","7.69","2.41","88.17","0.906","7","53","339","289","2.02","18","75","451","3.84"
"64","Colton Sceviour","FLA","C","197","453.26666666667","143","782","15.46","130","580","18.31","113","432","20.73","4","58","6.45","6.86","52.74","11.50","64","375","14.58","27","165","14.06","2","28","6.67","3.54","86.57","0.901","14","56","344","268","3.91","23","89","450","4.86"
"109","Zach Hyman","TOR","C, L","197","450.23333333333","115","788","12.74","89","597","12.97","73","416","14.93","4","45","8.16","5.06","49.59","9.26","53","411","11.42","18","156","10.34","3","21","12.50","5.48","89.18","0.947","8","56","358","240","2.19","15","74","521","2.80"
"59","Nick Bonino","NSH","C","211","444.51666666667","99","725","12.01","90","558","13.89","68","401","14.50","3","58","4.92","4.23","48.6","8.00","40","349","10.28","14","143","8.92","2","25","7.41","4.41","85.54","0.899","9","62","405","245","2.17","15","85","521","2.80"
"28","Blake Comeau","COL, DAL","L","204","444.48333333333","93","784","10.60","83","573","12.65","68","432","13.60","5","43","10.42","4.82","52.5","8.41","49","394","11.06","20","157","11.30","2","17","10.53","7.35","90.05","0.974","4","54","348","300","1.14","11","84","438","2.45"
"142","Phillip Danault","MTL","C, L","197","441.75","127","791","13.83","109","623","14.89","90","450","16.67","5","52","8.77","5.74","55.01","9.45","55","402","12.04","25","188","11.74","4","23","14.81","5.56","88.44","0.940","13","50","331","315","3.78","30","86","476","5.93"
"21","Brad Richardson","ARI","C, R","196","441.56666666667","121","707","14.61","100","538","15.67","84","384","17.95","10","38","20.83","6.38","48.98","11.52","53","355","12.99","29","168","14.72","5","25","16.67","11.90","90.10","1.020","9","59","404","231","2.18","13","81","543","2.34"
"163","Colton Sissons","NSH","C","205","434.76666666667","98","707","12.17","92","546","14.42","74","391","15.91","7","64","9.86","5.52","46.96","10.52","45","341","11.66","23","134","14.65","3","29","9.38","9.46","83.63","0.931","8","53","387","249","2.03","13","76","469","2.70"
"29","Carl Soderberg","ARI, COL","C","224","434.66666666667","99","758","11.55","91","545","14.31","82","401","16.98","5","38","11.63","4.94","46.58","9.59","46","344","11.79","19","132","12.58","3","21","12.50","6.10","90.52","0.966","8","51","292","282","2.67","14","76","382","3.54"
"140","Sean Couturier","PHI","C","224","434.05","127","600","17.47","119","435","21.48","102","332","23.50","2","55","3.51","6.19","41.17","13.08","54","308","14.92","26","125","17.22","2","26","7.14","1.96","83.43","0.854","6","63","349","278","1.69","10","84","480","2.04"
"179","Artturi Lehkonen","MTL","L","211","431.6","103","765","11.87","92","594","13.41","79","422","15.77","4","54","6.90","4.9","51.52","8.69","49","376","11.53","20","175","10.26","2","23","8.00","5.06","87.20","0.923","7","55","332","285","2.06","19","92","450","4.05"
"100","Johan Larsson","BUF","C, L","208","427.61666666667","98","699","12.30","88","546","13.88","76","399","16.00","3","59","4.84","4.36","47.21","8.46","35","335","9.46","18","161","10.06","2","33","5.71","3.95","85.21","0.892","6","50","325","224","1.81","14","74","447","3.04"
"57","Alex Killorn","T.B","C, L","224","427.61666666667","82","660","11.05","73","504","12.65","57","386","12.87","5","48","9.43","4.12","42.88","8.77","43","359","10.70","16","143","10.06","5","25","16.67","8.77","87.56","0.963","9","74","230","389","3.77","12","101","279","4.12"
"36","Anze Kopitar","L.A","C","226","422.7","101","727","12.20","88","530","14.24","76","380","16.67","5","50","9.09","5.32","45.48","10.48","44","380","10.38","23","138","14.29","3","18","14.29","6.58","86.84","0.934","6","57","375","220","1.57","10","79","485","2.02"
"165","Brock McGinn","CAR","L","223","418.58333333333","99","648","13.25","87","486","15.18","73","330","18.11","4","45","8.16","4.82","47.25","9.25","43","311","12.15","25","168","12.95","3","26","10.34","5.48","86.36","0.918","11","46","360","262","2.96","17","72","471","3.48"
"216","Brandon Tanev","PIT, WPG","L","202","418.38333333333","86","758","10.19","81","567","12.50","63","417","13.13","9","40","18.37","5.44","48.02","10.17","50","318","13.59","27","134","16.77","4","21","16.00","14.29","90.41","1.047","10","72","347","294","2.80","15","93","437","3.32"
"22","Nate Thompson","L.A, MTL, OTT","C","210","412.75","115","715","13.86","103","538","16.07","79","386","16.99","5","44","10.20","5.84","49.5","10.55","51","336","13.18","29","157","15.59","3","24","11.11","6.33","88.60","0.949","13","38","263","364","4.71","21","59","337","5.87"
"150","Zemgus Girgensons","BUF","C","205","411.45","87","686","11.25","77","549","12.30","70","401","14.86","3","53","5.36","3.62","47.49","7.08","25","333","6.98","11","165","6.25","1","27","3.57","4.29","86.78","0.911","12","54","267","288","4.30","18","76","371","4.63"
"181","Elias Lindholm","CAR, CGY","C","225","408.38333333333","111","687","13.91","97","505","16.11","84","349","19.40","14","48","22.58","6.58","47.42","12.18","55","364","13.13","37","162","18.59","11","28","28.21","16.67","86.25","1.029","10","50","341","267","2.85","15","73","420","3.45"
"187","Pierre-Edouard Bellemare","COL, VGK","C, L","208","408.08333333333","90","683","11.64","80","493","13.96","63","363","14.79","6","45","11.76","4.52","43.22","9.46","34","331","9.32","15","144","9.43","2","24","7.69","9.52","87.60","0.971","3","45","359","185","0.83","19","78","442","4.12"
"105","Kevin Hayes","NYR, PHI, WPG","C, R","209","402.36666666667","124","609","16.92","110","481","18.61","84","355","19.13","9","43","17.31","8.32","49.66","14.35","70","360","16.28","34","173","16.43","8","19","29.63","10.71","87.89","0.986","7","43","307","239","2.23","10","68","379","2.57"
"211","Anthony Cirelli","T.B","C","160","400.8","85","687","11.01","76","504","13.10","60","384","13.51","8","44","15.38","4.61","41.73","9.95","41","359","10.25","23","137","14.38","8","21","27.59","13.33","88.54","1.019","5","47","354","127","1.39","12","72","475","2.46"
"161","Chris Tierney","OTT, S.J","C","226","400.53333333333","119","689","14.73","110","532","17.13","92","388","19.17","7","46","13.21","7.26","45.83","13.67","59","354","14.29","35","156","18.32","5","23","17.86","7.61","88.14","0.958","12","59","272","326","4.23","17","78","354","4.58"
"76","Matt Calvert","CBJ, COL","L","201","390.18333333333","108","646","14.32","98","463","17.47","89","347","20.41","8","55","12.70","6.15","43.13","12.49","52","326","13.76","24","150","13.79","2","29","6.45","8.99","84.15","0.931","10","45","202","337","4.72","20","71","263","7.07"
"151","Tom Wilson","WSH","R","202","389.45","80","623","11.38","68","429","13.68","55","310","15.07","3","43","6.52","4","37.21","9.71","38","307","11.01","19","116","14.07","2","21","8.70","5.45","86.13","0.916","5","41","229","298","2.14","11","60","307","3.46"
