"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"157","Chandler Stephenson","VGK, WSH","C","190","270.66666666667","60","387","13.42","51","297","14.66","43","206","17.27","4","25","13.79","3.32","27.56","10.77","30","213","12.35","17","99","14.66","4","12","25.00","9.30","87.86","0.972","6","36","153","271","3.77","11","47","187","5.56"
"118","Mark Stone","OTT, VGK","R","199","270.55","96","452","17.52","81","339","19.29","66","259","20.31","5","29","14.71","5.46","28.82","15.93","48","217","18.11","28","94","22.95","5","16","23.81","7.58","88.80","0.964","5","21","196","206","2.49","8","32","247","3.14"
"32","Troy Brouwer","CGY, FLA, STL","R","164","268.66666666667","62","433","12.53","51","335","13.21","43","214","16.73","3","36","7.69","2.91","29.59","8.96","24","223","9.72","12","95","11.21","1","18","5.26","6.98","83.18","0.902","14","38","183","191","7.11","20","54","256","7.25"
"192","Kasperi Kapanen","TOR","R","178","268","79","378","17.29","72","298","19.46","59","223","20.92","7","36","16.28","4.57","25.38","15.25","36","206","14.88","19","78","19.59","5","21","19.23","11.86","83.86","0.957","5","24","66","376","7.04","9","35","86","9.47"
"185","Garnet Hathaway","CGY, WSH","R","194","267.23333333333","66","330","16.67","59","222","21.00","47","145","24.48","7","19","26.92","4.17","19.93","17.32","38","169","18.36","21","64","24.71","4","6","40.00","14.89","86.90","1.018","9","34","78","333","10.34","11","49","91","10.78"
"121","Josh Archibald","ARI, EDM, PIT","R","163","263.81666666667","61","493","11.01","57","368","13.41","51","255","16.67","3","21","12.50","2.47","28.35","8.02","23","218","9.54","8","75","9.64","2","5","28.57","5.88","91.76","0.976","6","35","166","235","3.49","9","45","206","4.19"
"77","Cam Atkinson","CBJ","R","189","263.56666666667","83","335","19.86","72","265","21.36","63","185","25.40","5","28","15.15","4.02","23.99","14.37","41","178","18.72","18","71","20.22","4","13","23.53","7.94","84.86","0.928","16","47","150","265","9.64","24","61","193","11.06"
"60","Paul Byron","MTL","L","160","263.25","66","428","13.36","58","328","15.03","46","241","16.03","5","28","15.15","4.26","29.84","12.50","36","213","14.46","22","101","17.89","5","11","31.25","10.87","88.38","0.993","1","29","136","263","0.73","8","56","179","4.28"
"210","Joel Eriksson Ek","MIN","C","187","262.85","39","435","8.23","34","330","9.34","25","232","9.73","1","30","3.23","1.42","25.7","5.23","14","197","6.64","5","65","7.14","0","8","0.00","4.00","87.07","0.911","12","36","147","231","7.55","17","50","189","8.25"
"49","Claude Giroux","PHI","C, R","226","262.81666666667","97","318","23.37","90","242","27.11","77","177","30.31","6","25","19.35","5.29","22.64","18.95","45","166","21.33","27","64","29.67","5","13","27.78","7.79","85.88","0.937","7","31","304","186","2.25","9","44","389","2.26"
"75","Derek Grant","ANA, PIT","C","171","262.23333333333","65","383","14.51","60","302","16.57","53","225","19.06","6","27","18.18","3.53","27.43","11.41","31","205","13.14","21","81","20.59","6","13","31.58","11.32","88.00","0.993","12","34","265","168","4.33","16","47","334","4.57"
"87","Magnus Paajarvi","OTT, STL","L","159","261.91666666667","60","444","11.90","52","348","13.00","46","250","15.54","2","27","6.90","2.91","27.78","9.49","23","209","9.91","14","83","14.43","2","10","16.67","4.35","89.20","0.935","4","28","162","238","2.41","12","43","198","5.71"
"141","Joel Armia","MTL, WPG","R","187","259.63333333333","87","430","16.83","69","330","17.29","56","248","18.42","5","30","14.29","3.65","28.9","11.20","38","222","14.62","18","94","16.07","3","15","16.67","8.93","87.90","0.968","7","29","154","268","4.35","18","48","184","8.91"
"122","Tobias Rieder","ARI, CGY, EDM, L.A","C, R","194","259.38333333333","58","417","12.21","47","330","12.47","37","237","13.50","1","30","3.23","3.32","29.47","10.12","26","212","10.92","14","95","12.84","1","17","5.56","2.70","87.34","0.900","6","31","144","278","4.00","18","43","169","9.63"
"159","Jujhar Khaira","EDM","L","184","257.15","74","418","15.04","59","280","17.40","50","196","20.33","5","20","20.00","3.16","26.52","10.66","34","207","14.11","14","79","15.05","4","11","26.67","10.00","89.80","0.998","9","30","157","231","5.42","14","43","190","6.86"
"110","Ryan Johansen","NSH","C","220","255.9","78","330","19.12","68","256","20.99","46","181","20.26","8","19","29.63","4.21","22.77","15.59","40","157","20.30","20","63","24.10","6","7","46.15","17.39","89.50","1.069","15","32","133","290","10.14","18","53","154","10.47"
"124","Vincent Trocheck","FLA","C","192","253.75","98","408","19.37","87","328","20.96","64","243","20.85","6","31","16.22","6.15","29.24","17.37","58","224","20.57","20","94","17.54","3","13","18.75","9.38","87.24","0.966","5","29","176","222","2.76","11","48","237","4.44"
"94","Gabriel Bourque","COL, WPG","L","161","253.63333333333","44","477","8.45","41","348","10.54","32","246","11.51","2","28","6.67","1.88","27.51","6.39","16","207","7.17","7","82","7.87","0","12","0.00","6.25","88.62","0.949","8","28","133","221","5.67","13","44","167","7.22"
"24","Kyle Brodziak","EDM, STL","C","151","252.55","56","366","13.27","50","287","14.84","47","213","18.08","4","36","10.00","1.79","25.49","6.56","16","176","8.33","10","83","10.75","3","19","13.64","8.51","83.10","0.916","0","23","193","217","0.00","6","38","238","2.46"
"53","Michael Frolik","BUF, CGY","R","190","246.4","69","406","14.53","59","320","15.57","50","229","17.92","5","24","17.24","4.07","30.79","11.66","35","227","13.36","15","113","11.72","4","14","22.22","10.00","89.52","0.995","3","43","156","179","1.89","10","59","219","4.37"
