"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"299","Pavel Buchnevich","NYR","L, R","59","820.05","13.899152542373","0.8","1.24","0.95","0.29","2.05","59.57","7.39","10.89","0.67","12.29","9.66","8.85","4.24","0.37","0.88","1.17","0.59","0.59","0","0","0.88","3.59","2.27","4.83","5.71","1.39","0.29","0.95","1.72"
"21","Corey Perry","DAL","R","48","526.51666666667","10.969097222222","0.46","0.91","0.46","0.46","1.37","66.67","5.7","8.00","0.76","11.97","8.55","8.2","4.22","0.11","0.8","3.99","1.37","1.14","0.11","0.11","0.8","1.82","1.37","4.9","3.53","3.19","0.34","0.46","4.88"
"362","David Pastrnak","BOS","R","61","866.81666666667","14.210109289617","1.52","1.32","0.97","0.35","2.84","80.39","10.8","14.10","0.86","18.9","14.4","11.14","4.22","0.55","1.04","1.94","0.97","0.97","0","0","1.18","3.95","2.84","2.91","5.54","1.11","0.35","0.35","3.46"
"369","Christian Dvorak","ARI","C, L","63","810.1","12.85873015873","0.74","1.19","0.89","0.3","1.93","60.47","6.81","10.87","0.71","11.55","8.81","7.92","4.22","0.15","0.89","0.74","0.37","0.37","0","0","0.22","1.33","0.89","2.52","5.93","2.15","25.11","21.03","4.03"
"444","Max Jones","ANA","L","49","610.98333333333","12.469047619048","0.69","0.29","0.2","0.1","0.98","66.67","7.56","9.09","0.68","12.67","10.02","8.45","4.22","0.2","0.29","1.77","0.88","0.88","0","0","0.88","2.55","1.57","6.19","5.4","1.47","0.88","1.08","4.42"
"371","Brayden Point","T.B","C","57","816.63333333333","14.326900584795","1.03","1.84","1.25","0.59","2.87","67.24","6.02","17.07","0.72","11.68","8.89","9.33","4.19","0.51","0.59","0.66","0.22","0.15","0.07","0","0.73","0.81","1.47","1.47","4.78","1.62","19.4","21.01","3.53"
"187","Taylor Hall","ARI, N.J","L","58","815.91666666667","14.067528735632","0.59","1.4","1.1","0.29","1.99","79.41","9.49","6.20","0.8","16.18","12.94","9.12","4.19","0.37","1.4","1.32","0.66","0.66","0","0","0.81","2.21","2.21","2.21","5.66","1.62","0.96","1.25","3.19"
"223","Gabriel Landeskog","COL","L","43","634.18333333333","14.748449612403","0.66","0.57","0.38","0.19","1.23","44.83","7.28","9.09","0.74","12.11","10.41","7.38","4.16","0.57","0.76","2.37","1.04","0.95","0.09","0","0.66","1.23","2.74","6.91","5.39","2.65","14.85","12.02","5.23"
"157","Casey Cizikas","NYI","C","48","548.03333333333","11.417361111111","0.66","0.22","0.11","0.11","0.88","47.06","6.02","10.91","0.61","10.51","7.88","7.23","4.16","0.66","0.66","1.97","0.99","0.99","0","0","0.66","2.63","3.17","14.45","7.99","2.63","32.19","25.4","6.12"
"154","Marcus Foligno","MIN","L","49","593.63333333333","12.114965986395","0.91","1.21","0.81","0.4","2.12","77.78","6.77","13.43","0.69","10.31","8.89","6.97","4.14","0.2","0.61","1.42","0.71","0.71","0","0","0.71","1.01","2.02","15.46","3.34","2.22","0.51","0.61","4.59"
